component_id,count,mean,min,max
12334,4,1.000000,1.000000,1.000000
12342,4,1.000000,1.000000,1.000000
12357,4,1.000000,1.000000,1.000000
12411,4,0.987444,0.987444,0.987444
12415,4,1.000000,1.000000,1.000000
12487,4,0.968169,0.968169,0.968169
12499,4,1.000000,1.000000,1.000000
12500,4,0.991114,0.991114,0.991114
12502,4,0.970478,0.970478,0.970478
12505,4,1.000000,1.000000,1.000000
12512,4,0.968584,0.968584,0.968584
12526,4,1.000000,1.000000,1.000000
12564,4,0.965701,0.965701,0.965701
12598,4,1.000000,1.000000,1.000000
12625,4,1.000000,1.000000,1.000000
12652,16,0.983434,0.966495,0.990331
12656,4,1.000000,1.000000,1.000000
12664,4,1.000000,1.000000,1.000000
12668,4,0.962594,0.962594,0.962594
12676,4,1.000000,1.000000,1.000000
12730,4,1.000000,1.000000,1.000000
12750,4,1.000000,1.000000,1.000000
12792,4,1.000000,1.000000,1.000000
12834,4,1.000000,1.000000,1.000000
12857,4,0.977102,0.977102,0.977102
12892,4,1.000000,1.000000,1.000000
12901,4,0.975982,0.975982,0.975982
12933,4,1.000000,1.000000,1.000000
12934,4,0.992543,0.992543,0.992543
12970,12,1.000000,1.000000,1.000000
12987,4,0.996627,0.996627,0.996627
13001,4,1.000000,1.000000,1.000000
13014,4,1.000000,1.000000,1.000000
13024,4,1.000000,1.000000,1.000000
13067,4,0.992230,0.992230,0.992230
13071,4,0.992929,0.992929,0.992929
13083,18,1.000000,1.000000,1.000000
13092,4,0.966534,0.966534,0.966534
13139,4,1.000000,1.000000,1.000000
13148,4,0.981040,0.981040,0.981040
13153,4,1.000000,1.000000,1.000000
13177,4,1.000000,1.000000,1.000000
13259,4,0.960049,0.960049,0.960049
13283,4,0.999932,0.999932,0.999932
13288,4,1.000000,1.000000,1.000000
13298,12,1.000000,1.000000,1.000000
13324,4,0.961416,0.961416,0.961416
13329,4,1.000000,1.000000,1.000000
13333,4,0.962603,0.962603,0.962603
13450,4,1.000000,1.000000,1.000000
13491,4,0.994692,0.994692,0.994692
13496,4,1.000000,1.000000,1.000000
13503,4,0.973213,0.973213,0.973213
13656,4,1.000000,1.000000,1.000000
13683,4,0.989720,0.989720,0.989720
